Depth C = 0.0625, F1_train = 0.8891018180003357,  F1_valid = 0.44214202372104605 
Depth C = 0.125, F1_train = 0.9330357708601534,  F1_valid = 0.4327375108805448 
Depth C = 0.25, F1_train = 0.9643105259111024,  F1_valid = 0.42830463326490326 
Depth C = 0.5, F1_train = 0.9821937373467182,  F1_valid = 0.4258720518688831 
Depth C = 1, F1_train = 0.9915682725894561,  F1_valid = 0.41895827342783587 
Depth C = 1.5, F1_train = 0.995078383919996,  F1_valid = 0.41437499937449845 
Depth C = 2, F1_train = 0.9968351781610512,  F1_valid = 0.4104237697675691 
Depth C = 4, F1_train = 0.9986588053911886,  F1_valid = 0.4116521116510574 
Depth C = 10.0, F1_train = 0.9987566871494623,  F1_valid = 0.4084241077910953 
Depth C = 16, F1_train = 0.9991048062789718,  F1_valid = 0.4070251582429811 
Depth C = 32, F1_train = 0.9993756543056056,  F1_valid = 0.40179086412858284 
